Complexity,Loss,Equation
1,28.039816,"0.5681692"
2,8.398691,"exp(1.6094068)"
3,8.169411,"x0 - -6.005662"
4,7.919308,"exp(x0 - -2.5931602)"
5,7.846644,"9.272871 + (4.248808 * x0)"
6,7.740278,"sin(x0 + x0) * -6.005662"
8,7.7302227,"(-6.005662 * sin(x0 + x0)) + -0.1070912"
9,7.7245765,"(exp(x0) * 13.372793) - sin(13.372793 * x0)"
10,7.639904,"(exp(x0) * 13.372793) - sin(sin(13.372793 * x0))"
11,7.185747,"(exp(x0) * 13.372793) - sin((13.372793 * x0) * x0)"
13,7.151343,"((exp(x0) + 0.016129171) * 13.372793) - sin((13.372793 * x0) * x0)"
15,7.1366787,"((exp(x0) + 0.016129171) * 13.372793) - sin(((13.372793 * x0) + 0.35357097) * x0)"
16,7.1263833,"(sin(exp(x0) + 0.016129171) * 13.372793) - sin(((13.372793 * x0) * x0) + -0.20452736)"
17,6.923798,"sin(0.8736314) * (((4.9893904 * x0) - -11.646878) + sin(exp(4.9893904 - exp(x0)) - 4.9893904))"
19,6.881696,"sin(0.8736314) * (((4.9893904 * x0) - -11.646878) + sin((exp(4.9893904 - exp(x0)) - 4.9893904) - -0.26842296))"
20,6.8748646,"sin(0.8736314) * (((4.9893904 * x0) - -11.646878) + cos((exp(4.9893904 - exp(x0)) - x0) + sin(x0)))"
