Complexity,Loss,Equation
1,0.11327288,"-0.7181005"
2,0.030612517,"sin(-1.5707532)"
3,0.030580437,"2.0814364 * -0.4831641"
5,0.028570376,"(0.015474278 * x0) - 1.0830411"
6,0.0025844793,"-0.9598714 + (sin(x0) * -0.2514623)"
7,0.0025376864,"(sin(sin(x0)) * -0.28535277) + -0.9596359"
8,0.0024148435,"(-0.25161678 * sin(x0 * 1.0122267)) + -0.96224564"
9,0.0023784088,"-0.96200824 + (sin(sin(x0 * 1.0114661)) * -0.28530297)"
10,0.0015084717,"(0.011348579 * x0) + (-1.017266 + (sin(x0) * -0.2478829))"
11,0.0015054564,"(sin(-0.24985987 * sin(x0)) + -1.0171592) + (x0 * 0.011331749)"
12,0.0013842111,"((0.0011579911 * x0) * x0) + ((-0.2533426 * sin(x0)) + -0.9982051)"
13,0.0013806379,"(-0.99813443 + sin(sin(x0) * -0.2554493)) - (x0 * (-0.0011565947 * x0))"
14,0.001361175,"(-0.9899693 + (-0.25587088 * sin(x0))) - ((x0 * x0) * (x0 * -0.00012311988))"
15,0.0013575193,"(-0.9899439 + sin(-0.25802544 * sin(x0))) - ((-0.00012314832 * (x0 * x0)) * x0)"
16,0.0013525942,"((-0.25802544 * sin(x0 - 0.030252172)) + -0.9899439) - (((-0.00012314832 * x0) * x0) * x0)"
17,0.0013208373,"(((cos(x0 * 1.7941625) + x0) * x0) * 0.0011579911) + (-0.9982051 + (sin(x0) * -0.2533426))"
18,0.0013199027,"(((x0 + cos(x0 * 1.7941625)) * x0) * 0.0011579911) + (-0.9982051 + sin(sin(x0) * -0.2533426))"
19,0.0012654633,"((sin(x0) * -0.24758732) + -1.0000677) - ((sin(x0 * (-0.7106793 * x0)) - x0) * (0.0012103331 * x0))"
